"idno","typesamp","interva","telnum","agea_1","gendera1","type","access","physa","littera","vandaa","psu","prob","vote","prtvtbgb","prtclbgb","prtdgcl","ctzcntr","ctzshipc","brncntr","cntbrthc","cgtsmke","cgtsday","alcfreq","alcwkdy","alcwknd","hhmmb","gndr","agea","eisced","pdwrk","edctn","uempla","uempli","rtrd","wrkctra","hinctnta","region","alcohol_day"
100001053,"Address","No interview for other reason",NA,"60 or over","Male","Multi-unit house, flat","No, neither of these","Satisfactory","Small amount","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001055,"Address","No interview for other reason",NA,"20 to 39","Male","Single unit: Detached house","No, neither of these","Satisfactory","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001056,"Address","No interview for other reason",NA,NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001058,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001059,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001060,"Address","No interview for other reason",NA,NA,NA,"Single unit: Semi-detached house","No, neither of these","Satisfactory","Small amount","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001061,"Address","No interview for other reason",NA,"20 to 39","Female","Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001062,"Address","No interview for other reason",NA,NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001064,"Address","No interview for other reason",NA,"40 to 59","Female","Single unit: Semi-detached house","No, neither of these","Satisfactory","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001065,"Address","No interview for other reason",NA,"20 to 39","Female","Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001066,"Address","No interview for other reason",NA,"60 or over","Female","Multi-unit house, flat","Yes, entry phone and locked gate/door","Very good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001067,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001068,"Address","No interview for other reason",NA,"20 to 39","Male","Single unit: Semi-detached house","No, neither of these","Bad","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001069,"Address","No interview for other reason",NA,"20 to 39","Male","Single unit: Terraced house","No, neither of these","Good","Small amount","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001071,"Address","No interview for other reason",NA,"60 or over","Female","Multi-unit house, flat","No, neither of these","Very good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001072,"Address","No interview for other reason",NA,"40 to 59","Female","Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001073,"Address","No interview for other reason",NA,"60 or over","Female","Multi-unit house, flat","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001074,"Address","No interview for other reason",NA,"40 to 59","Male","Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001075,"Address","No interview for other reason",NA,NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001076,"Address","No interview for other reason",NA,"40 to 59","Male","Single unit: Detached house","No, neither of these","Good","Small amount","Small amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001077,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001078,"Address","No interview for other reason",NA,"40 to 59","Female","Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001079,"Address","No interview for other reason",NA,NA,NA,"Multi-unit house, flat","Yes, entry phone and locked gate/door","Good","Small amount","Small amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001082,"Address","No interview for other reason",NA,"20 to 39","Male","Multi-unit house, flat","Yes, entry phone and locked gate/door","Satisfactory","Small amount","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001083,"Address","No interview for other reason",NA,"40 to 59","Female","Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001084,"Address","No interview for other reason",NA,NA,NA,"Multi-unit house, flat","Yes, locked gate/door","Satisfactory","Small amount","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001085,"Address","No interview for other reason",NA,"20 to 39","Male","Single unit: Terraced house","No, neither of these","Satisfactory","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001086,"Address","No interview for other reason",NA,"Don't know, never saw R, no selected R","Female","Multi-unit house, flat","Yes, entry phone and locked gate/door","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001088,"Address","No interview for other reason",NA,NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001090,"Address","No interview for other reason",NA,"Don't know, never saw R, no selected R","Female","Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001091,"Address","No interview for other reason",NA,NA,NA,"Other",NA,"Satisfactory","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001092,"Address","No interview for other reason",NA,"20 to 39","Male","Multi-unit house, flat","Yes, entry phone and locked gate/door","Good","Small amount","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001093,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001095,"Address","No interview for other reason",NA,"20 to 39","Female","Multi-unit house, flat","Yes, entry phone","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001096,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001098,"Address","No interview for other reason",NA,"20 to 39","Female","Multi-unit house, flat","Yes, entry phone and locked gate/door","Good","Small amount","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001099,"Address","No interview for other reason",NA,"60 or over","Male","Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001101,"Address","No interview for other reason",NA,"40 to 59","Female","Single unit: Terraced house","No, neither of these","Satisfactory","Small amount","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001104,"Address","No interview for other reason",NA,"40 to 59","Male","Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001105,"Address","No interview for other reason",NA,NA,NA,"Farm","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001108,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001109,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001111,"Address","No interview for other reason",NA,"60 or over","Female","Multi-unit house, flat","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001113,"Address","No interview for other reason",NA,"60 or over","Male","Only housing unit in building with other purpose","Yes, entry phone and locked gate/door","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001115,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001116,"Address","No interview for other reason",NA,"Don't know, never saw R, no selected R","Male","Single unit: Terraced house","No, neither of these","Good","Small amount","Small amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001117,"Address","No interview for other reason",NA,NA,NA,"Multi-unit: Student apartments, rooms","Yes, entry phone and locked gate/door","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001118,"Address","No interview for other reason",NA,NA,NA,"Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001120,"Address","No interview for other reason",NA,"20 to 39","Male","Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001124,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001127,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001131,"Address","No interview for other reason",NA,"60 or over","Female","Multi-unit house, flat","Yes, entry phone","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001133,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001135,"Address","No interview for other reason",NA,"40 to 59","Male","Single unit: Terraced house","No, neither of these","Satisfactory","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001138,"Address","No interview for other reason",NA,"60 or over","Male","Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001141,"Address","No interview for other reason",NA,"40 to 59","Male","Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001143,"Address","No interview for other reason",NA,NA,NA,"Multi-unit house, flat","Yes, entry phone and locked gate/door","Good","Small amount","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001146,"Address","No interview for other reason",NA,NA,NA,"Other","Yes, entry phone and locked gate/door","Satisfactory","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001149,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001150,"Address","No interview for other reason",NA,"40 to 59","Male","Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001151,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001152,"Address","No interview for other reason",NA,"60 or over","Male","Multi-unit house, flat","No, neither of these","Satisfactory","Small amount","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001156,"Address","No interview for other reason",NA,"20 to 39","Female","Single unit: Semi-detached house","No, neither of these","Very good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001157,"Address","No interview for other reason",NA,NA,NA,"Single unit: Semi-detached house","No, neither of these","Very good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001158,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001159,"Address","No interview for other reason",NA,NA,NA,"Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001161,"Address","No interview for other reason",NA,NA,NA,"Single unit: Terraced house","No, neither of these","Bad","Small amount","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001163,"Address","No interview for other reason",NA,NA,NA,"Single unit: Terraced house","No, neither of these","Satisfactory","Large amount","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001165,"Address","No interview for other reason",NA,"60 or over","Female","Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001166,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001170,"Address","No interview for other reason",NA,"20 to 39","Male","Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001171,"Address","No interview for other reason",NA,NA,NA,"Single unit: Terraced house","No, neither of these","Satisfactory","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001172,"Address","No interview for other reason",NA,NA,NA,"Single unit: Detached house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001173,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001174,"Address","No interview for other reason",NA,"Don't know, never saw R, no selected R","Male","Single unit: Semi-detached house","No, neither of these","Very good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001175,"Address","No interview for other reason",NA,"Don't know, never saw R, no selected R","Male","Multi-unit house, flat","Yes, entry phone and locked gate/door","Very good","Small amount","Small amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001177,"Address","No interview for other reason",NA,NA,NA,"Single unit: Semi-detached house","No, neither of these","Satisfactory","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001178,"Address","No interview for other reason",NA,NA,NA,"Multi-unit house, flat","Yes, entry phone and locked gate/door","Satisfactory","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001179,"Address","No interview for other reason",NA,NA,NA,"Multi-unit house, flat","Yes, entry phone and locked gate/door","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001181,"Address","No interview for other reason",NA,"Under 20","Male","Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001182,"Address","No interview for other reason",NA,"60 or over","Female","Single unit: Terraced house","No, neither of these","Satisfactory","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001183,"Address","No interview for other reason",NA,"60 or over","Male","Single unit: Semi-detached house","No, neither of these","Very good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001184,"Address","No interview for other reason",NA,NA,NA,"Multi-unit house, flat","Yes, entry phone","Good","Small amount","Small amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001185,"Address","No interview for other reason",NA,NA,NA,"Multi-unit house, flat","Yes, entry phone and locked gate/door","Good","Small amount","Small amount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001186,"Address","No interview for other reason",NA,"40 to 59","Male","Single unit: Detached house","No, neither of these","Very good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001189,"Address","No interview for other reason",NA,NA,NA,"Single unit: Semi-detached house","No, neither of these","Very good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001190,"Address","No interview for other reason",NA,NA,NA,"Multi-unit house, flat","Yes, entry phone and locked gate/door","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001191,"Address","No interview for other reason",NA,"Don't know, never saw R, no selected R","Female","Single unit: Semi-detached house","No, neither of these","Satisfactory","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001193,"Address","No interview for other reason",NA,"20 to 39","Female","Single unit: Terraced house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001194,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001195,"Address","No interview for other reason",NA,"20 to 39","Female","Single unit: Terraced house","No, neither of these","Satisfactory","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001196,"Address","No interview for other reason",NA,"40 to 59","Female","Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001198,"Address","No interview for other reason",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001199,"Address","No interview for other reason",NA,NA,NA,"Single unit: Terraced house","No, neither of these","Bad","Small amount","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001200,"Address","No interview for other reason",NA,"40 to 59","Female","Single unit: Detached house","No, neither of these","Good","Small amount","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100001201,"Address","No interview for other reason",NA,"40 to 59","Male","Single unit: Semi-detached house","No, neither of these","Good","None or almost none","None or almost none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
